x,y
0.50,-0.30
-0.14,-1.99
1.05,-0.87
-1.13,1.61
0.13,0.76
-0.79,1.37
-0.24,-0.47
1.08,0.39
1.05,-1.18
1.94,1.62
0.43,-0.51
-1.15,-0.88
-1.17,0.02
-1.34,-0.32
-0.28,0.27
-1.81,2.29
-0.22,-1.54
1.68,-1.62
-0.29,0.34
0.31,0.62
-2.44,0.26
-2.12,-0.27
-2.10,0.35
-0.71,1.21
-0.14,-0.09
-1.20,-0.54
0.75,1.05
0.88,0.53
10.00,10.00
-0.95,-0.18
-0.93,0.23
-0.03,1.94
0.05,0.10
0.96,2.76
1.75,1.21
0.39,0.86
1.28,-1.44
-0.86,-1.38
-0.56,0.26
-0.06,-0.07
-0.55,-0.30
-0.09,0.18
-0.38,-0.07
0.35,-1.86
0.39,-0.92
-0.07,-0.46
0.58,0.24
1.27,-0.88
-1.54,1.90
-0.95,2.18
-2.62,-1.39
0.97,1.19
-1.01,0.62
1.49,1.00
-1.40,0.54
-0.10,-1.67
0.06,1.68
0.91,0.25
-0.45,-0.25
0.92,3.56
1.06,-1.13
0.11,-0.89
2.09,-1.38
0.89,3.29
1.03,1.70
-1.80,0.48
-0.35,0.38
-0.81,-1.87
-2.73,-0.02
-0.05,2.04
-1.11,-0.34
0.05,-0.50
-0.11,1.59
1.35,1.10
-0.84,-1.16
-0.19,-0.89
0.76,-1.38
-1.69,1.44
0.01,1.82
-1.18,-0.45
-1.53,-1.77
-0.19,-1.21
-1.22,-0.62
1.14,0.68
1.43,1.10
0.64,0.28
-0.47,-2.08
-2.22,-0.33
-1.49,-0.95
1.57,0.10
0.91,-3.11
-2.00,2.77
-0.22,0.19
1.17,0.10
0.21,-3.64
2.19,-2.07
0.96,-0.27
-0.03,0.59
-1.16,0.73
0.36,-1.58
0.23,-0.69
-0.86,2.03
0.68,-1.29
1.07,-0.70
1.47,-1.11
0.07,0.65
0.95,1.12
-1.36,-1.28
-1.38,0.05
1.29,-1.90
-1.48,1.23
1.24,-0.61
0.60,-0.47
0.58,-0.46
-0.70,1.52
-0.66,-0.15
-1.04,1.01
1.67,-0.77
-0.62,0.17
-2.78,-0.14
-2.70,-1.06
0.78,2.20
-1.14,-1.61
1.17,-0.14
0.89,-1.37
0.99,-1.28
2.47,0.20
0.01,-1.19
0.25,0.58
0.42,-2.30
0.20,-0.44
2.29,-0.27
0.32,-0.57
-1.93,-0.46
-0.42,-1.27
1.15,0.91
1.08,1.00
-2.92,0.37
-0.28,1.98
1.44,0.96
3.08,-0.91
0.42,1.29
0.26,1.18
-0.43,0.72
-0.19,1.61
-2.39,-0.33
0.16,1.21
-1.02,0.46
1.99,-0.82
0.30,1.37
-0.27,-0.15
1.52,-0.43
2.65,-1.39
0.19,1.10
-0.45,-1.41
0.69,0.75
-2.17,0.59
-1.95,-0.40
1.73,-1.37
0.94,-0.35
-0.65,-1.17
0.07,-1.40
0.39,-1.16
-0.85,0.43
-1.25,2.64
0.56,1.21
0.55,-0.01
0.86,1.28
0.42,1.65
0.41,-0.45
0.26,-1.39
-1.11,-0.94
-1.28,0.05
-1.04,1.24
-1.94,-0.26
0.05,-0.97
-1.57,1.06
0.17,0.77
1.90,0.42
0.33,-2.52
0.90,3.16
-1.51,2.10
0.40,0.32
-0.52,1.16
-0.42,0.17
-0.53,0.93
0.64,-0.59
-1.07,-1.26
-1.69,-0.51
2.21,-1.44
0.91,-2.39
1.03,-1.24
-1.06,0.63
-0.83,0.71
-0.24,-1.82
-1.38,-2.06
0.26,-1.27
-2.36,0.10
-0.08,-2.76
-0.09,-0.28
2.43,-0.59
1.70,-0.63
-0.66,-0.31
-0.90,-0.13
0.52,2.04
0.99,-0.15
-1.13,-0.30
0.14,-0.45
-0.06,-0.19
-0.64,0.13
-1.56,1.29
0.27,-2.57
-1.29,3.37
-1.21,-0.90
-0.47,0.77
-1.41,1.42
-0.47,-0.11
-1.79,1.36
-0.05,-1.60
0.58,-0.77
-0.89,3.02
2.02,2.32
-0.76,-2.10
-2.51,3.05
1.31,1.03
0.11,0.91
0.03,-1.13
-1.69,-0.92
2.13,0.32
-0.30,1.91
-0.29,0.98
1.76,-0.09
1.64,1.92
-0.35,-0.70
3.85,0.14
0.49,1.80
-1.44,0.96
0.08,-1.39
0.17,0.80
0.42,-1.02
-0.63,2.15
-0.01,-2.82
-0.08,-0.04
-0.16,-0.37
-2.93,-0.33
1.86,-0.31
0.04,1.87
0.78,-1.75
1.81,-0.65
-0.93,-0.81
0.18,-1.78
-2.76,-0.58
-1.32,-0.13
-0.14,1.68
-1.00,0.50
-0.55,-0.37
1.36,0.32
-0.66,0.41
-0.55,-0.88
0.43,-0.74
-0.70,-2.13
1.46,-0.43
-0.90,-0.36
-0.33,2.20
1.64,0.77
-0.60,0.88
0.56,-3.06
0.75,-2.65
1.13,0.88
1.36,-0.40
1.30,2.81
1.55,0.25
2.53,-0.66
2.27,-0.67
0.87,-0.73
-2.23,0.03
2.14,0.76
2.32,-0.09
-0.24,-1.13
-0.40,-1.26
2.25,0.51
0.89,1.14
-2.55,-0.57
1.59,-0.76
-1.66,-0.14
-0.12,-0.79
-2.16,-0.48
0.22,0.62
0.02,-0.87
0.65,-0.51
1.62,0.36
-0.23,-0.24
0.96,-0.87
-0.13,3.25
-1.10,0.50
1.61,-1.33
-0.67,-0.94
-0.21,0.01
-2.56,-0.93
-2.23,-0.68
-1.04,0.09
0.41,0.41
-1.25,1.66
0.07,0.05
-0.83,0.22
-1.80,1.13
